"""Geschafft! Wir sind blöd!""";Oliver Kalkofe;;;2010;Ullstein Taschenbuch;133;9783548372891
'Mind-boggling', Evening Post;Max Goldt;;;2001;Diana;0;9783453177062
2001. Odyssee im Weltraum.;Arthur C. Clarke;;SF;03/2000;Heyne;265;9783453164093
2084;Boualem Sansal;;SF;05/2016;Merlin;280;9783875363210
Abenteuer in Sachsen - Zwei Erzählungen (Die Rose von Ernstthal, Wanda);Karl May;;;1991;Treptower Verlagshaus;233;3730306693
Against A Dark Background (English Edition);Iain M. Banks;;;04/09/2008;Orbit;644;9781857231793
Als Soldat in der DDR;Erich Hasemann;;Militaria;1997;Das Neue Berlin;345;3932180062
Als Wilhelm kam;Saki;;;1992;Heyne;221;9783453054189
Andymon;Angela und Karlheinz Steinmüller;;;1982;Neues Leben, Berlin;279;3932180062
Apokalypse Vietnam (Das Buch zur mdr Fernsehserie);Wolfgang Schneider;;Militaria;01/01/2000;Rowohlt, Berlin;0;9783871344121
Atomvulkan Golkonda;Arkadi und Boris Strugatzki;;;1961;Verlag Kultur und Fortschritt, Berlin;288;
Auf dem Zeitstrom (Heyne Science Fiction und Fantasy (06));Philip J Farmer;;;09/1997;Heyne;0;3-453-30567-1
Ausgebrannt;Andreas Eschbach;;German fiction;2008;Bastei Lübbe (Bastei Entertainment);750;9783404159239
Ausweitung der Kampfzone;Michel Houellebecq, Leopold Federmair;;;2000;Rowohlt Tb.;169;9783499227301
Barfuß auf Asphalt. Ein unordentlicher Lebenslauf;Vilma Sturm;;;08/1985;Kiepenheuer & Witsch GmbH;328;3462014404
Baureihe 01;Manfred Weisbrod, Wolfgang Petznick;;Eisenbahn;1979;Transpress;288;
Baureihe 03;Manfred Weisbrod, Horst J. Obermayer;;;07/2006;transpress;160;9783613713000
Baureihe 95 - Der Lebenslauf der Bergkönigin;Wolfram Brozeit, Hans Müller, Günter Bölke;;;1994;Transpress;207;9783344703776
Begegnung im Licht;Helmut Fickelscherer (Hrsg.);;;1976;Neues Leben, Berlin;377;
Begegnung im Nebel;Rolf Krohn;;;1988;Das neue Berlin;279;3-360-00139-7
Berlin 1945 - Das Ende;Antony Beevor;;Militaria;13/11/2003;Bertelsmann, C;544;9783570003695
